id,status,startedAt,stoppedAt,duracion_s
169,success,"2026-09-11 20:22:27.953","2026-09-11 20:22:30.125",2.172
170,success,"2026-09-11 20:22:39.356","2026-09-11 20:22:44.147",4.791
171,success,"2026-09-11 20:22:50.269","2026-09-11 20:22:52.632",2.363
172,success,"2026-09-11 20:22:58.004","2026-09-11 20:23:00.248",2.244
173,success,"2026-09-11 20:23:01.711","2026-09-11 20:23:03.626",1.915
174,success,"2026-09-11 20:23:03.214","2026-09-11 20:23:05.237",2.023
175,success,"2026-09-11 20:23:06.340","2026-09-11 20:23:08.530",2.19
176,success,"2026-09-11 20:23:10.891","2026-09-11 20:23:13.967",3.076
177,success,"2026-09-11 20:23:17.080","2026-09-11 20:23:18.145",1.065
178,success,"2026-09-11 20:23:39.433","2026-09-11 20:23:40.424",0.991
179,success,"2026-09-11 20:23:42.901","2026-09-11 20:23:44.979",2.078
180,success,"2026-09-11 20:23:47.335","2026-09-11 20:23:49.275",1.94
181,success,"2026-09-11 20:23:52.073","2026-09-11 20:23:54.891",2.818
182,success,"2026-09-11 20:23:57.542","2026-09-11 20:24:01.801",4.259
183,success,"2026-09-11 20:24:04.708","2026-09-11 20:24:06.754",2.046
184,success,"2026-09-11 20:24:08.502","2026-09-11 20:24:11.927",3.425
185,success,"2026-09-11 20:24:13.439","2026-09-11 20:24:15.304",1.865
186,success,"2026-09-11 20:24:18.180","2026-09-11 20:24:21.627",3.447
187,success,"2026-09-11 20:24:22.896","2026-09-11 20:24:23.880",0.984
188,success,"2026-09-11 20:24:32.584","2026-09-11 20:24:34.499",1.915
189,success,"2026-09-11 20:24:37.277","2026-09-11 20:24:39.226",1.949
190,success,"2026-09-11 20:24:45.265","2026-09-11 20:24:47.462",2.197
191,success,"2026-09-11 20:24:48.919","2026-09-11 20:24:51.017",2.098
192,success,"2026-09-11 20:24:53.968","2026-09-11 20:24:56.104",2.136
193,success,"2026-09-11 20:25:05.780","2026-09-11 20:25:07.947",2.167
194,success,"2026-09-11 20:25:13.731","2026-09-11 20:25:14.889",1.158
195,success,"2026-09-11 20:25:19.058","2026-09-11 20:25:21.135",2.077
196,success,"2026-09-11 20:25:24.001","2026-09-11 20:25:30.190",6.189
197,success,"2026-09-11 20:25:32.923","2026-09-11 20:25:35.694",2.771
198,success,"2026-09-11 20:25:37.387","2026-09-11 20:25:41.194",3.807
199,success,"2026-09-11 20:25:43.059","2026-09-11 20:25:45.194",2.135
200,success,"2026-09-11 20:25:51.860","2026-09-11 20:25:52.792",0.932
201,success,"2026-09-11 20:25:56.743","2026-09-11 20:25:58.730",1.987
202,success,"2026-09-11 20:26:01.451","2026-09-11 20:26:03.426",1.975
203,success,"2026-09-11 20:26:05.588","2026-09-11 20:26:10.013",4.425
204,success,"2026-09-11 20:26:09.962","2026-09-11 20:26:12.092",2.13
205,success,"2026-09-11 20:26:13.549","2026-09-11 20:26:15.545",1.996
206,success,"2026-09-11 20:26:23.584","2026-09-11 20:26:28.684",5.1
207,success,"2026-09-11 20:26:30.702","2026-09-11 20:26:32.907",2.205
208,success,"2026-09-11 20:26:34.885","2026-09-11 20:26:37.029",2.144
209,success,"2026-09-11 20:26:38.827","2026-09-11 20:26:40.808",1.981
210,success,"2026-09-11 20:26:42.328","2026-09-11 20:26:44.482",2.154
211,success,"2026-09-11 20:26:46.978","2026-09-11 20:26:50.837",3.859
